x,y
410,0.312494
420,0.288039
430,0.259772
440,0.281242
450,0.277752
460,0.296537
470,0.42502
480,0.344997
490,0.355327
500,0.372961
510,0.381373
520,0.39446
530,0.399822
540,0.406274
550,0.402322
560,0.409675
570,0.41337
580,0.416035
590,0.416836
600,0.415438
610,0.417469
620,0.420366
630,0.423039
640,0.42478
650,0.428206
660,0.433635
670,0.439901
680,0.446242
690,0.453398
700,0.459179
710,0.467774
720,0.479228
730,0.489273
740,0.4998
750,0.511024
760,0.521807
770,0.534117
780,0.549797
790,0.563367
800,0.584166
810,0.601193
820,0.622171
830,0.64552
840,0.670634
850,0.689664
860,0.711858
870,0.740387
880,0.764153
890,0.787827
900,0.805465
910,0.825383
920,0.841136
930,0.84615
940,0.847844
950,0.849006
960,0.851831
970,0.850959
980,0.853673
990,0.853263
1000,0.859093
1010,0.860973
1020,0.865341
1030,0.869613
1040,0.871541
1050,0.870461
1060,0.872578
1070,0.875362
1080,0.877037
1090,0.883716
1100,0.886455
1110,0.889266
1120,0.8965
1130,0.899996
1140,0.906026
1150,0.909177
1160,0.908949
1170,0.91559
1180,0.911837
1190,0.914638
1200,0.917366
1210,0.916941
1220,0.918112
1230,0.916895
1240,0.92075
1250,0.91702
1260,0.91738
1270,0.916885
1280,0.918066
1290,0.917705
1300,0.916853
1310,0.913697
1320,0.909955
1330,0.908162
1340,0.904339
1350,0.894796
1360,0.890526
1370,0.890377
1380,0.886709
1390,0.884786
1400,0.890286
1410,0.887855
1420,0.882718
1430,0.881694
1440,0.873603
1450,0.871159
1460,0.859779
1470,0.849554
1480,0.849994
1490,0.848615
1500,0.855332
1510,0.854466
1520,0.855321
1530,0.85281
1540,0.847905
1550,0.834166
1560,0.813933
1570,0.797019
1580,0.784476
1590,0.773122
1600,0.782188
1610,0.77712
1620,0.784461
1630,0.792377
1640,0.780831
1650,0.745973
1660,0.658169
1670,0.444622
1680,0.24518
1690,0.122062
1700,0.076067
1710,0.050813
1720,0.036278
1730,0.023713
1740,0.014547
1750,0.008278
1760,0.005038
1770,0.003462
1780,0.002593
1790,0.0021
1800,0.001754
1810,0.001554
1820,0.001424
1830,0.00138
1840,0.001321
1850,0.001273
1860,0.001266
1870,0.00124
1880,0.001197
1890,0.001198
1900,0.001201
1910,0.001192
1920,0.00117
1930,0.001162
1940,0.001156
1950,0.001173
1960,0.001144
1970,0.001158
1980,0.001167
1990,0.001173
2000,0.001197
2010,0.001207
2020,0.001234
2030,0.001273
2040,0.001284
2050,0.001338
2060,0.001331
2070,0.001359
2080,0.001395
2090,0.001423
2100,0.001452
2110,0.001491
2120,0.001505
2130,0.001544
2140,0.001586
2150,0.001586
2160,0.001609
2170,0.001645
2180,0.001637
2190,0.001677
2200,0.001714
2210,0.001694
2220,0.001734
2230,0.001765
2240,0.001794
2250,0.00184
2260,0.001848
2270,0.001888
2280,0.001928
2290,0.001985
2300,0.001927
2310,0.001935
2320,0.001985
2330,0.002082
2340,0.002056
2350,0.002106
2360,0.002135
2370,0.002195
2380,0.002284
2390,0.00233
2400,0.002459
