x, y
300,0.0000001
310,0.0000001
320,0.0000001
330,0.0000001
340,0.0000001
350,0.0000001
360,0.0000001
370,0.0000001
380,0.0000001
390,0.0000001
400,0.0000001
410,0.0000001
420,0.0000001
430,0.0000001
440,0.0000001
450,0.1537
460,0.1325
470,0.106
480,0.1643
490,0.1961
500,0.2014
510,0.265
520,0.2385
530,0.2491
540,0.2385
550,0.2226
560,0.2597
570,0.3551
580,0.371
590,0.3975
600,0.4081
610,0.3869
620,0.3286
630,0.3233
640,0.3445
650,0.3975
660,0.4452
670,0.477
680,0.5141
690,0.53
700,0.4929
710,0.4452
720,0.3869
730,0.371
740,0.3922
750,0.4187
760,0.3975
770,0.3975
780,0.371
790,0.3445
800,0.3127
810,0.3339
820,0.3392
830,0.3869
840,0.3922
850,0.3816
860,0.371
870,0.3233
880,0.3021
890,0.2544
900,0.2438
910,0.2226
920,0.1802
930,0.1749
940,0.1484
950,0.1166
960,0.106
970,0.0901
980,0.0848
990,0.0636
1000,0.0424
1010,0.0477
1020,0.0424
1030,0.0265
1040,0.0318
1050,0.0265
1060,0.0212
1070,0.0159
1080,0.0159
1090,0.0159
1100,0
