Wavelength (nm),Bright1 (W/m^2/Âµm/sr),Bright2 (W/m^2/Âµm/sr),Dark1 (W/m^2/Âµm/sr)
300,0,0,0
700,0,0,0
730,0,0,0
739.0437,298.9582,252.7855,6.062683
739.0983,292.2399,247.0125,5.908576
739.1529,288.2356,243.5311,5.807266
739.2076,297.4927,251.3379,5.991169
739.2622,312.3099,263.9543,6.30178
739.3169,318.9266,269.7663,6.434338
739.3715,322.7043,273.2887,6.518652
739.4262,327.1122,277.339,6.650098
739.4809,324.1248,275.0146,6.636048
739.5356,315.4166,267.7499,6.481589
739.5903,315.1548,267.6855,6.493897
739.6449,326.1208,277.2185,6.747367
739.6997,334.3481,284.3597,6.939917
739.7544,331.4826,281.7833,6.873256
739.8092,324.2662,275.3018,6.697764
739.8639,320.7504,272.1545,6.602349
739.9186,322.0818,273.3553,6.607581
739.9734,326.879,277.5176,6.701737
740.0281,332.0531,282.1639,6.827296
740.0829,333.2467,283.5486,6.884045
740.1376,329.2742,280.3152,6.838081
740.1925,321.7699,273.9164,6.691144
740.2472,312.0795,265.4862,6.4715
740.302,305.6381,259.6747,6.323538
740.3569,309.3106,262.5642,6.399817
740.4116,321.1448,272.6053,6.658322
740.4665,332.1621,282.1317,6.914664
740.5213,337.213,286.6501,7.042881
740.5761,338.6335,288.1365,7.070266
740.631,338.7282,288.4071,7.062754
740.6859,334.9541,285.2243,6.980031
740.7407,325.7556,277.3763,6.777222
740.7956,317.9358,270.6736,6.590599
740.8505,320.4423,272.8128,6.60897
740.9054,329.8922,281,6.78067
740.9603,333.659,284.3253,6.873512
741.0152,325.9077,277.6432,6.749383
741.0701,310.0453,263.9702,6.453485
741.125,300.629,255.8647,6.29216
741.1799,306.6023,260.9662,6.429654
741.2349,310.9499,264.7067,6.512104
741.2899,306.2439,260.722,6.423459
741.3448,309.5738,263.6573,6.52118
741.3998,324.7141,277.0389,6.854945
741.4547,337.407,288.6335,7.118617
741.5097,340.0843,291.2469,7.162481
741.5647,334.4703,285.9567,7.014656
741.6197,322.067,274.5022,6.716976
741.6747,307.9576,262.0935,6.413249
741.7297,299.7188,255.1424,6.27143
741.7848,302.3051,257.3818,6.368279
741.8398,316.525,269.8421,6.69107
741.8948,331.3867,283.2215,7.018049
741.9499,333.2576,285.2752,7.075112
742.0049,324.0237,277.4603,6.899095
742.0599,318.5804,272.7785,6.812179
742.115,325.317,278.5059,6.968984
742.1701,334.7295,286.378,7.14124
742.2252,334.8546,285.9202,7.108457
742.2803,327.4319,278.9279,6.943603
742.3354,319.58,271.9157,6.785471
742.3905,311.7453,265.0854,6.621796
742.4456,303.368,257.9162,6.431738
742.5007,298.3882,253.7213,6.307915
742.5559,300.5121,255.4141,6.331079
742.611,308.4835,262.0338,6.465425
742.6662,317.1213,269.328,6.616891
742.7213,323.7383,274.9985,6.730319
742.7765,329.0758,279.5523,6.824341
742.8316,334.7529,284.6323,6.956461
742.8868,340.1223,289.9256,7.105007
742.942,342.7077,292.7172,7.205579
742.9972,343.2277,293.3431,7.275231
743.0525,343.4329,293.5968,7.341814
743.1077,342.8091,293.1017,7.368959
743.1629,340.0727,290.9197,7.321478
743.2181,335.8668,287.9325,7.223545
743.2734,333.2539,286.2336,7.156981
743.3286,334.0772,286.795,7.18248
743.3839,337.2271,289.454,7.260407
743.4391,340.3117,292.4879,7.319953
743.4945,342.1878,294.2914,7.35132
743.5497,343.5001,295.3563,7.378561
743.605,344.0117,295.3557,7.393866
743.6603,342.7486,293.4544,7.369684
743.7156,340.5026,291.0018,7.316413
743.7709,339.1646,289.7439,7.285438
743.8263,339.2647,289.7841,7.284685
743.8816,339.2544,289.7242,7.26716
743.9369,338.3637,288.9351,7.228235
743.9923,338.2627,288.8466,7.211245
744.0476,339.8358,290.1884,7.232492
744.103,341.0799,291.1923,7.252433
744.1583,338.085,288.2964,7.197655
744.2138,328.489,279.4535,7.008465
744.2691,318.4739,270.5046,6.787301
744.3245,318.3539,270.7014,6.748901
744.3799,324.324,276.3933,6.845743
744.4354,324.5212,276.839,6.854466
744.4907,322.5513,275.1652,6.838017
744.5462,327.6466,279.5071,6.964875
744.6017,334.3535,285.2292,7.119362
744.6571,330.4761,281.9548,7.062796
744.7125,315.543,269.2968,6.772447
744.768,307.029,262.351,6.609669
744.8235,316.5461,271.1532,6.839553
744.8789,329.8386,283.043,7.151468
744.9344,333.5942,286.3625,7.241107
744.9899,332.8805,285.6697,7.218846
745.0454,333.1117,285.7752,7.223336
745.101,333.8665,286.4413,7.251134
745.1565,334.994,287.4961,7.282687
745.212,336.3899,288.7115,7.314591
745.2676,337.2761,289.2132,7.327923
745.3231,337.3903,288.6067,7.313031
